Process Data Points,Process Averages,Process LCLs,Process UCLs
0.25,0.50125,0.16584085153353373,0.8366591484664663
0.5,0.50125,0.16584085153353373,0.8366591484664663
0.35,0.50125,0.16584085153353373,0.8366591484664663
0.45,0.50125,0.16584085153353373,0.8366591484664663
0.4,0.50125,0.16584085153353373,0.8366591484664663
0.45,0.50125,0.16584085153353373,0.8366591484664663
0.6,0.50125,0.16584085153353373,0.8366591484664663
0.4,0.50125,0.16584085153353373,0.8366591484664663
0.4,0.50125,0.16584085153353373,0.8366591484664663
0.6,0.50125,0.16584085153353373,0.8366591484664663
0.7,0.50125,0.16584085153353373,0.8366591484664663
0.5,0.50125,0.16584085153353373,0.8366591484664663
0.45,0.50125,0.16584085153353373,0.8366591484664663
0.65,0.50125,0.16584085153353373,0.8366591484664663
0.6,0.50125,0.16584085153353373,0.8366591484664663
0.5,0.50125,0.16584085153353373,0.8366591484664663
0.45,0.50125,0.16584085153353373,0.8366591484664663
0.5,0.50125,0.16584085153353373,0.8366591484664663
0.55,0.50125,0.16584085153353373,0.8366591484664663
0.45,0.50125,0.16584085153353373,0.8366591484664663
0.35,0.50125,0.16584085153353373,0.8366591484664663
0.55,0.50125,0.16584085153353373,0.8366591484664663
0.6,0.50125,0.16584085153353373,0.8366591484664663
0.55,0.50125,0.16584085153353373,0.8366591484664663
0.5,0.50125,0.16584085153353373,0.8366591484664663
0.55,0.50125,0.16584085153353373,0.8366591484664663
0.75,0.50125,0.16584085153353373,0.8366591484664663
0.55,0.50125,0.16584085153353373,0.8366591484664663
0.4,0.50125,0.16584085153353373,0.8366591484664663
0.55,0.50125,0.16584085153353373,0.8366591484664663
0.4,0.50125,0.16584085153353373,0.8366591484664663
0.65,0.50125,0.16584085153353373,0.8366591484664663
0.5,0.50125,0.16584085153353373,0.8366591484664663
0.65,0.50125,0.16584085153353373,0.8366591484664663
0.5,0.50125,0.16584085153353373,0.8366591484664663
0.6,0.50125,0.16584085153353373,0.8366591484664663
0.6,0.50125,0.16584085153353373,0.8366591484664663
0.4,0.50125,0.16584085153353373,0.8366591484664663
0.3,0.50125,0.16584085153353373,0.8366591484664663
0.35,0.50125,0.16584085153353373,0.8366591484664663
